{
# 公众号配置
# 公众号appId
"app_id": "wxb12e1db23743956e",
# 公众号appSecret
"app_secret": "de7882a2a097f813c13b754bc598e910",
# 模板消息id
"template_id": "jB4cMYn1o-Ovxjun-QEXL4zR68bh3SLJqWvYFkxyBLs",
# 接收公众号消息的微信号，如果有多个，需要在[]里用英文逗号间隔，例如["wx1", "wx2"]
"user": ["oqfJy6grOLS63ItiMQgdcp8yybxI","oqfJy6qaNNvBQLJd0Ou0QncPJnws"],
 
# 信息配置
# 和风天气apikey
"weather_key": "660dbd438b034075a2beb091176a7030",
# 所在地区，可为省，城市，区，县，同时支持国外城市，例如伦敦
"region": "长沙市",
# 生日1，修改名字为对应需要显示的名字，如果生日为农历，在最前面加上r即可
"birthday1": {"name": "你", "birthday": "r2000-08-30"},
# 生日2
# "birthday2": {"name": "理查德", "birthday": "r1997-06-10"},
# 在一起的日子，格式同上，暂不不支持农历
"love_date": "2021-06-13",
# 金句中文，如果设置了，则会显示这里的，如果为空，默认会读取金山的每日金句
"note_ch": "",
# 金句英文
"note_en": ""
}
